,beta.ave,beta.diff,gamma.ave,gamma.diff,group
611,0.731927011,-0.030010732,1.515460481,0.395830723,hht
612,0.513787349,0.026974931,0.639678225,0.116890021,hht
615,0.745186763,0.289386373,1.565327635,1.009936155,hht
616,0.484507176,0.037257403,0.97071243,0.156891054,hht
620,0.512232633,0.04193143,0.293108441,0.020750838,hht
627,0.687351212,-0.011479428,0.941528262,0.402672928,hht
628,0.876889146,0.191659805,2.766732714,0.211032186,hht
630,0.896072245,0.06634114,8.267722739,6.444939668,hht
631,0.746208102,0.158810647,0.599695339,0.145149573,hht
633,0.951824123,-0.007471449,0.164472285,0.113214598,hht
634,0.631332653,-0.127575091,0.537776934,0.025158828,hht
635,0.839353967,0.154484865,0.51312983,0.238034506,hht
636,0.781257502,-0.137428096,1.071861008,0.711252129,hht
637,1.069650156,0.007238929,0.204981501,0.048635629,hht
642,1.092634111,-0.153654896,0.485367375,0.270761641,hht
644,1.048133687,0.050667199,0.532318028,0.130283331,hht
646,1.090910431,0.039467937,0.944603911,0.718468016,hht
648,0.825393034,-0.019844091,0.218311661,0.053637967,hht
653,0.443917659,-0.007371031,0.365175009,0.084597321,hht
656,0.481706873,0.005782273,0.754090282,0.637230319,hht
657,0.706232379,-0.153796261,1.945840219,1.75322254,hht
658,0.716233126,-0.283112645,1.25446294,0.014745207,hht
659,0.684201553,0.190623671,4.756521531,2.419962318,hht
660,0.459947334,0.045878165,0.032801541,0.016464003,hht
663,0.729953906,0.12547133,0.184745739,0.073797069,hht
664,0.997596776,0.009021867,2.172087774,0.929573675,hht
669,0.956207015,0.048578251,0.526595612,0.431759538,hht
670,0.613865945,0.027006788,0.500679365,0.098646737,hht
673,1.635165241,-0.073570618,0.208482862,0.04978804,hht
674,0.975172412,-0.012829793,1.970274489,1.231473176,hht
675,0.681611627,0.098894728,0.379685405,0.084090991,hht
677,0.622139886,0.246771576,0.47863203,0.4664585,hht
679,0.802585159,-0.200861137,2.613175538,0.148709486,hht
680,0.682500882,-0.010249285,2.362499993,1.864886696,hht
681,0.893948395,0.074920855,0.539202931,0.084992397,hht
684,0.901986022,-0.291003367,8.224421201,4.667356862,hht
686,0.739690896,-0.195456307,1.426224734,0.282713506,hht
688,0.90229364,-0.011057632,1.110866179,0.474499538,hht
689,0.74512551,0.081600275,0.433883695,0.010787541,hht
691,0.693556963,0.054143364,0.262601715,0.025903023,hht
692,1.137673992,-0.039414848,6.693977706,6.405281628,hht
694,0.831654749,-0.054187533,0.340725592,0.308463627,hht
698,0.629508687,0.089557589,2.952353348,1.995152265,hht
701,0.699899135,-0.002887902,0.913576897,0.763601944,hht
705,0.657534781,0.146131251,0.06441191,0.023050868,hht
706,0.811601679,0.114086589,0.669116859,0.10060584,hht
707,0.781025427,0.104276175,1.869083143,1.094308925,hht
708,0.785546337,0.189517418,0.134050186,0.055858207,hht
709,1.225785076,-0.105684148,2.274661215,1.710585273,hht
712,0.769239432,0.025298626,2.38277493,0.297938992,hht
713,0.963866561,0.147139838,0.603998887,0.058852633,hht
716,0.970051466,0.040909084,0.317517434,0.008627326,hht
718,0.930402907,0.035976006,5.603957763,5.103957763,hht
720,0.967709535,0.045784412,3.417773087,0.476416315,hht
722,0.974611537,-0.012074178,0.937914479,0.681121628,hht
723,0.889885324,0,1.894190219,0,hht
726,1.00774551,0.108039122,2.244694802,0.700475588,hht
733,0.734550952,0.116394195,0.547439529,0.056752515,hht
736,0.450901484,0.017840541,0.189930093,0.049610474,hht
739,0.663070435,0.328819734,0.165551852,0.052252219,hht
741,0.683435364,-0.117131733,0.59219566,0.23668734,hht
743,1.009601542,0.006180917,7.6496535,7.318589081,hht
744,0.696602724,-0.017908858,0.270386505,0.120073965,hht
745,0.754966891,-0.075101053,0.626663041,0.094499506,hht
747,0.828910801,-0.015977664,0.145702839,0.005615099,hht
750,0.740112394,0.076719464,0.475915384,0.156378573,hht
752,0.762495999,0.104117241,0.504627832,0.333738807,hht
753,1.21259421,-0.118875015,1.744975864,1.180899922,hht
756,0.863743814,0.10801982,0.931908739,0.313926361,hht
758,0.86831227,0.056824968,2.894545652,1.603755214,hht
761,0.75303809,-0.063462406,8.301613812,5.718304242,hht
762,0.598867539,-0.021910896,0.105834275,0.019336391,hht
765,0.791889681,-0.111404992,2.759117395,0.584705148,hht
766,0.693751507,0.246546165,0.803072526,0.348509612,hht
768,0.754734844,0.114483473,1.878512312,1.312202895,hht
769,0.754361156,0.012968325,0.154102508,0.05976856,hht
773,0.944385096,0.012222314,1.071221208,1.02326944,hht
775,0.734383096,-0.071013908,0.053807316,0.020293578,hht
779,0.812209705,0.102772186,2.528967935,0.811495862,hht
782,0.563168029,0.135599614,0.800806205,0.459175322,hht
783,1.264748526,0.448456504,2.034318852,0.844068541,hht
784,0.941248727,-0.220197596,0.78657238,0.396248316,hht
785,0.730318863,0.233669488,1.343276569,0.945194212,hht
786,0.951999819,0.221181733,1.898078551,1.113203023,hht
787,0.47965267,0.207150279,1.32363104,0.347787875,hht
788,0.358443485,0.005218597,0.543755159,0.484822112,hht
789,0.990722268,0.005765008,4.040106379,3.009330301,hht
791,1.245006095,0.245006095,2.07648216,1.07648216,hht
792,1.306339139,0.39825164,3.531696757,2.319018054,hht
794,0.562868258,0.069922794,0.327996175,0.183960318,hht
804,0.418347438,0.11255809,0.025907012,0.007563302,hht
805,1.04443472,-0.078999109,4.891040281,3.594505021,hht
806,0.753424451,0.031451414,0.128066589,0.039860571,hht
809,0.918662413,0.289982471,9.152996262,7.466251764,hht
811,0.587367142,-0.045181261,0.242268541,0.053536766,hht
812,0.827247307,-0.039897734,0.885849849,0.482852348,hht
815,0.88804238,0.105675086,0.869129592,0.783143991,hht
818,1.472857735,-0.102585787,8.769015564,5.344395085,hht
820,0.726155742,-0.117779952,0.797777333,0.632595455,hht
823,0.685594646,0.074643509,0.578503661,0.103284341,hht
824,0.734416256,0.214431904,1.021070031,0.648743373,hht
825,0.718618872,0.297070006,0.877263458,0.67628635,hht
827,0.73366499,-0.021050182,2.006076608,1.800681971,hht
828,0.525335514,-0.036960503,0.424695538,0.274086781,hht
830,1.201464402,0.276332152,7.053933412,0.043524513,hht
832,0.609393773,-0.144163993,1.568588715,1.114129484,hht
833,0.96091441,-0.13403802,8.662414007,0.11305091,hht
839,0.426264455,0.097592748,3.842570114,3.786635946,hht
840,0.611967647,0.117923514,0.099854706,0.076206642,hht
842,0.716524313,-0.047216417,0.359087564,0.121711108,hht
845,1.351854346,0.037136587,6.774234789,3.592253476,hht
846,1.054500427,0.482422388,0.951283709,0.395728114,hht
847,1.336276278,-0.360377611,3.836931162,0.363068332,hht
850,0.70045862,0.205283525,5.592407705,4.194124914,hht
856,0.651325396,0.032126603,0.564930214,0.017118031,hht
857,0.417834099,-0.008284314,1.178638219,0.444331556,hht
859,0.691205055,-0.08451541,0.301998108,0.030677257,hht
862,0.578321221,0.296940612,0.638896136,0.151031791,hht
864,0.350318679,0.039186518,0.306999248,0.160470946,hht
865,1.290446118,-0.079219814,4.592208844,0.860838611,hht
869,0.490365609,-0.066303581,0.966868352,0.841877039,hht
870,0.54377082,-0.01685248,2.068690587,1.991193428,hht
871,0.82430185,-0.229790488,1.285916587,0.285916587,hht
876,0.826443787,0.005920264,0.518240002,0.384508201,hht
877,0.693364539,0.04430926,0.821861585,0.378760667,hht
878,1.110441511,0.196096216,0.482713368,0.043318391,hht
880,0.725792383,0.064073238,0.270474542,0.166666653,hht
883,0.536574899,-0.118880888,1.905002353,0.101091634,hht
885,0.709764615,0.154266092,1.552058824,1.342983697,hht
889,0.4876833,-0.078087984,1.092867767,0.780462943,hht
892,1.144926263,-0.043921747,0.433545338,0.332469023,hht
894,1.055619436,0.188515986,1.457230443,0.331829107,hht
899,0.873216825,0.062059575,0.160397784,0.008935398,hht
900,0.538191621,-0.241923522,1.386233199,0.871322855,hht
902,0.903869572,0.153164099,5.577554662,3.385600335,hht
903,0.708196402,0.028102927,0.952153583,0.694768384,hht
905,0.802721176,-0.027045921,0.063686305,0.024955509,hht
906,1.264170139,-0.161014216,3.265656568,2.280992325,hht
910,0.595934099,-0.013412084,0.134679044,0.008125545,hht
911,0.853419402,0.125153358,1.149875371,0.383901733,hht
912,0.841834886,0.039317644,0.543192725,0.278901191,hht
914,0.800502686,0.016997854,0.933782465,0.662285151,hht
918,0.873075437,0.074440165,0.841347227,0.508774053,hht
919,1.02742733,-0.045301374,0.642507298,0.394221705,hht
922,0.857379112,0.188840144,0.237490589,0.013748946,hht
923,0.857733571,0.050223256,3.657930562,0.311959768,hht
927,0.419127201,0.058285165,0.503397283,0.187776958,hht
928,0.988862669,-0.038768871,0.474664283,0.392321175,hht
932,1.100955662,0.319171282,6.457848725,0.31535788,hht
933,0.714905112,0.089767965,0.811558934,0.088740729,hht
934,0.454367162,0.13791036,0.075958615,0.025292055,hht
935,1.787211573,0.350980556,7.495259126,4.99052363,hht
936,0.39448646,0.023442042,0.30631828,0.136658863,hht
939,1.613186201,-0.07344874,2.729868172,0.739776495,hht
940,0.617651497,-0.01974731,0.989608101,0.134088446,hht
941,0.34197541,-0.05664741,0.175305033,0.086039048,hht
946,1.704394727,0.346526914,3.598808224,0.841829208,hht
948,0.561909852,0.132113104,0.678214397,0.353890731,hht
949,0.836766145,0.542487413,0.751968574,0.50628021,hht
951,0.738776694,-0.006052182,1.610570696,0.109023201,hht
952,0.511247837,-0.15112911,0.699160227,0.350877641,hht
954,0.562836527,-0.01075141,1.057496427,0.147718949,hht
955,0.537077461,0.072871198,0.744028715,0.111213168,hht
958,0.714449629,-0.202691366,0.882571753,0.178066484,hht
960,0.738862326,-0.225853728,0.734580868,0.096604896,hht
962,0.678662904,-0.152110907,2.015118757,0.642490474,hht
964,0.951406885,-0.070827625,1.684948725,0.24949056,hht
965,0.745594762,0.069845159,0.868722826,0.300967074,hht
970,0.633876714,0.139356973,0.39546294,0.070189518,hht
971,0.730900565,-0.053473444,0.465852721,0.067801792,hht
972,0.643044882,0.091422862,0.737304675,0.189576382,hht
977,0.766937262,-0.0431548,0.866197245,0.076753576,hht
978,0.563765887,0.073318396,0.537151769,0.150422231,hht
980,0.866623211,-0.041457346,0.670334466,0.063987839,hht
983,0.647829039,0.025809845,0.852673921,0.222284728,hht
988,1.18146994,-0.05818814,1.986775261,0.080880212,hht
989,0.454540872,-0.017522249,0.858634048,0.293446281,hht
992,0.53371754,-0.115768167,1.375272393,0.906803758,hht
993,0.617902541,-0.025722551,2.363005209,1.44735719,hht
994,0.616021275,0.210186176,0.853817328,0.577836947,hht
996,0.557677238,0.017117593,0.255559931,0.096385135,hht
1003,0.562794377,0.04666678,2.05145391,0.051604297,hht
1004,0.649767767,-0.253040361,0.220220049,0.093445049,hht
1006,0.572834237,-0.170136303,0.777681475,0.455623469,hht
1008,0.745707695,-0.06625624,3.790876082,2.842879978,hht
1010,0.582253895,0.099577768,0.072162934,0.008099118,hht
1012,0.81924615,0.041807099,2.513224539,0.85872309,hht
1014,0.849701286,-0.124927,0.173349084,0.13123946,hht
1015,0.843689986,-0.010884447,5.370585861,4.001279031,hht
