"","nodeid","parent","indv","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"131","(103, 247, 23)-(106, 246, 28)","(106, 246, 28)-(107, 255, 36)","hht01",0.5,2,1.07269535600583,0.210969434508976,1.55963061555921,0.966802346927467
"132","(101, 244, 21)-(103, 247, 23)","(103, 247, 23)-(106, 246, 28)","hht01",0.5,2,0.944407232790653,-0.146063279700433,16.8955135867337,6.65871324333823
"133","(101, 244, 21)-(109, 148, 25)","(101, 244, 21)-(103, 247, 23)","hht01",0.3,2,0.786787875500265,0.0611381334683447,0.117977210860875,0.0227103195472363
"134","(109, 135, 28)-(109, 148, 25)","(101, 244, 21)-(109, 148, 25)","hht01",0.2,2,0.6101544557158,0.233971727545491,3.76094813214943,3.35879237022716
"135","(109, 135, 28)-(117, 76, 27)","(109, 135, 28)-(109, 148, 25)","hht01",0.1,2,0.479824020695126,0.0174981431985489,0.184108501588527,0.0491525170510014
"136","(117, 76, 27)-(122, 67, 42)","(109, 135, 28)-(117, 76, 27)","hht01",0,NA,NA,NA,NA,NA
"137","(117, 76, 27)-(120, 67, 28)","(109, 135, 28)-(117, 76, 27)","hht01",0,NA,NA,NA,NA,NA
"138","(109, 135, 28)-(112, 131, 28)","(109, 135, 28)-(109, 148, 25)","hht01",0,NA,NA,NA,NA,NA
"139","(108, 139, 23)-(109, 148, 25)","(101, 244, 21)-(109, 148, 25)","hht01",0.2,2,0.57336744356031,0.0747163479907636,2.56968350121494,0.591811665728637
"140","(108, 139, 23)-(121, 114, 28)","(108, 139, 23)-(109, 148, 25)","hht01",0.1,2,0.713959172269543,-0.0726744111532912,0.409654092979554,0.0106292690544437
"141","(121, 114, 28)-(130, 106, 30)","(108, 139, 23)-(121, 114, 28)","hht01",0,NA,NA,NA,NA,NA
"142","(112, 110, 24)-(121, 114, 28)","(108, 139, 23)-(121, 114, 28)","hht01",0,NA,NA,NA,NA,NA
"143","(108, 139, 23)-(115, 140, 14)","(108, 139, 23)-(109, 148, 25)","hht01",0.1,2,0.930061997581395,-0.0255402717766088,0.0976153123775063,0.0246100689791413
"144","(115, 140, 14)-(115, 142, 13)","(108, 139, 23)-(115, 140, 14)","hht01",0,NA,NA,NA,NA,NA
"145","(114, 140, 13)-(115, 140, 14)","(108, 139, 23)-(115, 140, 14)","hht01",0,NA,NA,NA,NA,NA
"146","(85, 217, 20)-(101, 244, 21)","(101, 244, 21)-(103, 247, 23)","hht01",0.4,2,0.746534313998035,-0.0437197568812886,1.02985211596702,0.696929298135563
"147","(75, 208, 25)-(85, 217, 20)","(85, 217, 20)-(101, 244, 21)","hht01",0.2,2,0.672525864263985,-0.190881562666119,5.66083539374078,4.30631680969941
"148","(75, 208, 25)-(91, 102, 35)","(75, 208, 25)-(85, 217, 20)","hht01",0.2,2,0.733816114847358,0.167909076470227,0.0964053065391814,0.0437039972280322
"149","(91, 102, 35)-(96, 107, 38)","(75, 208, 25)-(91, 102, 35)","hht01",0,NA,NA,NA,NA,NA
"150","(90, 84, 33)-(91, 102, 35)","(75, 208, 25)-(91, 102, 35)","hht01",0.1,2,0.773947611345818,-0.154436476121172,0.539050137180536,0.281220894978536
"151","(90, 84, 33)-(100, 82, 38)","(90, 84, 33)-(91, 102, 35)","hht01",0,NA,NA,NA,NA,NA
"152","(86, 81, 34)-(90, 84, 33)","(90, 84, 33)-(91, 102, 35)","hht01",0,NA,NA,NA,NA,NA
"153","(58, 207, 28)-(75, 208, 25)","(75, 208, 25)-(85, 217, 20)","hht01",0.1,2,0.572353333773102,0.108464196975165,1.46355859197742,0.902328539093171
